Артикул,Артикул Каспи,Название,Ссылка,Статус,NTIN,Город,Цена,Цена 1 места,Цена закупа,Автоснижение,Мин.цена,Автоповышение,Макс.цена,Шаг демпинга,Позиция,Остатки,Предзаказ
131755572_789399393,131755572,YZM-8025 утюжок 38 мм,https://kaspi.kz/shop/p/yzm-8025-utjuzhok-38-mm-131755572/,Снято с продажи,,Астана,7850,4999,0,0,4999,1,0,0,1,0,0
108532136_8745128456,108532136,WORK LIGHT S608 черный,https://kaspi.kz/shop/p/work-light-s608-chernyi-108532136/,Опубликовано,,Астана,3359,4270,0,0,3950,0,0,0,0,0,0
118442296_8456132132,118442296,Массажер пластик,https://kaspi.kz/shop/p/massazher-plastik-118442296/,Снято с продажи,,Астана,969,967,0,1,969,1,0,0,0,0,0
119791328_5413135,119791328,Массажер для ног напольный 3D-массаж,https://kaspi.kz/shop/p/massazher-dlja-nog-napol-nyi-3d-massazh-119791328/,Снято с продажи,,Астана,786,649,0,0,745,0,0,0,0,0,0
113351577_938095465,113351577,Набор 861224 9 шт,https://kaspi.kz/shop/p/nabor-861224-9-sht-113351577/,Снято с продажи,,Астана,3898,2919,0,1,3850,1,0,0,0,0,0
119594980_97896896,119594980,"Массажер Массажный ролик валик разминающий, раскатывающий, роликовый",https://kaspi.kz/shop/p/massazher-massazhnyi-rolik-valik-razminajuschii-raskatyvajuschii-rolikovyi-119594980/,Снято с продажи,,Астана,786,859,0,0,814,0,0,0,0,0,0
114161595_264725129,114161595,"Рейлинг JKBVV01-60 1 шт, нержавеющая сталь",https://kaspi.kz/shop/p/reiling-jkbvv01-60-1-sht-nerzhavejuschaja-stal--114161595/,Снято с продажи,,Астана,4999,7299,0,1,6250,0,0,0,0,0,0
121241629_456313132,121241629,"Массажер F2 валик 3D-массаж, акупунктурный",https://kaspi.kz/shop/p/massazher-f2-valik-3d-massazh-akupunkturnyi-121241629/,Снято с продажи,,Астана,786,718,0,0,745,0,0,0,0,0,0
129357386_698647860,129357386,"Ароматическая свеча Scented Candle Розовый аромат 4 см, 1 шт",https://kaspi.kz/shop/p/aromaticheskaja-svecha-scented-candle-rozovyi-aromat-4-sm-1-sht-129357386/,Опубликовано,,Астана,715,698,0,0,500,0,0,0,0,0,0
115063859_347496858,115063859,Муфта для рук для коляски 30062333_735114 черный,https://kaspi.kz/shop/p/mufta-dlja-ruk-dlja-koljaski-30062333-735114-chernyi-115063859/,Снято с продажи,,Астана,2489,3088,0,0,3000,1,0,0,0,0,0
115960153_446613693,115960153,Влажные салфетки Cleaning 10 шт,https://kaspi.kz/shop/p/vlazhnye-salfetki-cleaning-10-sht-115960153/,Снято с продажи,,Астана,779,0,0,0,0,0,0,0,0,0,0
104701785_8745146531,104701785,"ShopMax декоративный светильник sunset projection lamp, пластик, стекло",https://kaspi.kz/shop/p/shopmax-dekorativnyi-svetil-nik-sunset-projection-lamp-plastik-steklo-104701785/,Снято с продажи,,Астана,1621,1741,0,0,1500,0,0,0,0,0,0
128696223_256642866,128696223,Муфта для рук для коляски KZ1-BNST-BLACK черный,https://kaspi.kz/shop/p/mufta-dlja-ruk-dlja-koljaski-kz1-bnst-black-chernyi-128696223/,Снято с продажи,,Астана,2300,3053,0,0,3000,1,0,0,0,0,0
122941567_595114419,122941567,Органайзер 620A X011-00 P7 черный,https://kaspi.kz/shop/p/organaizer-620a-x011-00-p7-chernyi-122941567/,Снято с продажи,,Астана,950,1194,0,0,844,0,0,0,0,0,0
112110688_949921680,112110688,"ЗМ стоппер Серый 94204, для межкомнатных дверей",https://kaspi.kz/shop/p/zm-stopper-seryi-94204-dlja-mezhkomnatnyh-dverei-112110688/,Снято с продажи,,Астана,240,239,0,1,240,1,0,0,0,0,0
131177208_151636933,131177208,Муфта для рук для коляски 660099135 черный,https://kaspi.kz/shop/p/mufta-dlja-ruk-dlja-koljaski-660099135-chernyi-131177208/,Снято с продажи,,Астана,2296,3499,0,0,3000,1,0,0,0,0,0
109173181_125269150,109173181,"Разделитель для ящиков 106701 белый, серый 1 шт",https://kaspi.kz/shop/p/razdelitel-dlja-jaschikov-106701-belyi-seryi-1-sht-109173181/,Снято с продажи,,Астана,3500,0,0,0,0,0,0,0,0,0,0
116619585_153158343,116619585,Автомобильные универсальные 3D чехлы + оплетка для руля 478066_Pro,https://kaspi.kz/shop/p/avtomobil-nye-universal-nye-3d-chehly-opletka-dlja-rulja-478066-pro-116619585/,Снято с продажи,,Астана,25000,24829,0,0,25000,0,0,0,0,0,0
107066645_897498087,107066645,STAFF разделитель для ящиков NZY-000161 белый 1 шт,https://kaspi.kz/shop/p/staff-razdelitel-dlja-jaschikov-nzy-000161-belyi-1-sht-107066645/,Снято с продажи,,Астана,3500,0,0,0,0,0,0,0,0,0,0
110190257_424415561,110190257,Balance cosymosy6454 серый,https://kaspi.kz/shop/p/balance-cosymosy6454-seryi-110190257/,Снято с продажи,,Астана,2988,3988,0,0,2700,0,0,0,0,0,0
23465332266,106533711,Видеоняня Baby Monitor 608,https://kaspi.kz/shop/p/videonjanja-baby-monitor-608-106533711/,Снято с продажи,,Астана,24494,22510,0,0,22339,0,0,0,0,0,0
110495253_845613353,110495253,"IEK ночник в розетку LDNN8-018-SQ-P-00-S-K01, пластик",https://kaspi.kz/shop/p/iek-nochnik-v-rozetku-ldnn8-018-sq-p-00-s-k01-plastik-110495253/,Опубликовано,,Астана,618,492,0,0,500,0,0,0,0,0,0
117784382_7845654354,117784382,Стекломой 667742074 серый,https://kaspi.kz/shop/p/steklomoi-667742074-seryi-117784382/,Снято с продажи,,Астана,1192,2499,0,0,979,0,0,0,0,0,0
107918558_226803901,107918558,"Studio Art Makers подсвечник MILDG49, металл",https://kaspi.kz/shop/p/studio-art-makers-podsvechnik-mildg49-metall-107918558/,Снято с продажи,,Астана,2795,0,0,0,0,0,0,0,0,0,0
107923871_593873580,107923871,Кукольный дом 528485,https://kaspi.kz/shop/p/kukol-nyi-dom-528485-107923871/,Снято с продажи,,Астана,7980,12500,0,1,7250,1,0,0,0,0,0
133989009_1356487956315,133989009,"Набор крючков 639722566 10 шт, металл, пластик",https://kaspi.kz/shop/p/nabor-krjuchkov-639722566-10-sht-metall-plastik-133989009/,Снято с продажи,,Астана,170,0,0,0,0,0,0,0,0,0,0
114868429_777713757,114868429,"Скребок 800043 жёлтый, оранжевый",https://kaspi.kz/shop/p/skrebok-800043-zhjoltyi-oranzhevyi-114868429/,Опубликовано,,Астана,635,1299,0,0,642,0,0,0,0,0,0
107222730_140922519,107222730,"Подсвечник SCH5, металл",https://kaspi.kz/shop/p/podsvechnik-sch5-metall-107222730/,Снято с продажи,,Астана,2644,2642,0,1,2498,1,0,0,0,0,0
109429794_789394995,109429794,97 серый,https://kaspi.kz/shop/p/97-seryi-109429794/,Снято с продажи,,Астана,2962,2999,0,1,2600,1,0,0,0,0,0
108479520_45651153132,108479520,Термометр электронный 2514-6 1 шт,https://kaspi.kz/shop/p/termometr-elektronnyi-2514-6-1-sht-108479520/,Опубликовано,,Астана,600,668,0,0,620,0,0,0,0,0,0
119415106_845618465,119415106,Стекломой B45 голубой,https://kaspi.kz/shop/p/steklomoi-b45-goluboi-119415106/,Снято с продажи,,Астана,997,1987,0,0,979,0,0,0,0,0,0
109751658_235026297,109751658,HHSZD-ZP002 универсальный черный,https://kaspi.kz/shop/p/hhszd-zp002-universal-nyi-chernyi-109751658/,Опубликовано,,Астана,22498,21417,0,0,21400,0,0,0,0,0,0
129306524_644543031,129306524,Муфта для рук для коляски KZ1-HSYECBNST-BLACK черный,https://kaspi.kz/shop/p/mufta-dlja-ruk-dlja-koljaski-kz1-hsyecbnst-black-chernyi-129306524/,Снято с продажи,,Астана,3099,3499,0,0,3000,1,0,0,0,0,0
114754128_84515134,114754128,Автомобильный контейнер для мусора 17968294_926996,https://kaspi.kz/shop/p/avtomobil-nyi-konteiner-dlja-musora-17968294-926996-114754128/,Снято с продажи,,Астана,1045,948,0,1,1000,1,0,0,0,0,0
103964855_607083556,103964855,Kids Zone защита острые углы 00329 серый,https://kaspi.kz/shop/p/kids-zone-zaschita-ostrye-ugly-00329-seryi-103964855/,Опубликовано,,Астана,383,487,0,0,0,0,0,0,0,0,0
